=======================================================================================
STELLAR OBJECT TYPES DATA FILE - Captain Kwok's Balance Mod v1.20+ (Adapted from FQM)
=======================================================================================

Maximum Stellar Object Types Allowed = 1000

Allowable Values for Physical Type: 
  None, Planet, Asteroids, Storm, Star, Warp Point, Destroyed Star, Comet

Allowable Values for Planet Size:
  Asteroids, Tiny, Small, Medium, Large, Huge

Allowable Values for Planet Physical Type:
  Rock, Ice, Gas Giant

Allowable Values for Planet Atmosphere:
  None, Methane, Oxygen, Hydrogen, Carbon Dioxide

NOTE: The following combinations of plant physical type and atmosphere are 
not allowed: Gas Giant x None.

Allowable Values for all other sizes:
  Tiny, Small, Medium, Large, Huge

Allowable Values for Star Age:
  Young, Average, Old, Ancient

Allowable Values for Star Color:
  Yellow, Red, Purple, Green, Blue, White, Orange

Allowable Values for Star Luminosity:
  Dim, Average, Bright

Horrible lies about planet atmosphere texture colors:
None           - Gray
Methane        - Purple
Oxygen         - Blue
Hydrogen       - Red, Orange
Carbon Dioxide - Green, Yellow

Allowable Values for Planet Gravity:
  Any Formula

Allowable Values for Planet Temperature:
  Any Formula

Allowable Values for Planet Radiation:
  Any Formula

=======================================================================================
*BEGIN*
=======================================================================================

//------------------------------------------------------------------------------
// Ringed Planets
//------------------------------------------------------------------------------
Stellar Object Name        := Planet Gas Ringed 0001 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ringed 0001 Huge
Maximum Model Size         := 24.0126
Hex Size                   := 1
Picture Index              := 356
Portrait Filename          := planet_gas_ringed_0001_huge.bmp
Large Portrait Filename    := planet_gas_ringed_0001_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Gas Giant
Planet Atmosphere          := Carbon Dioxide
Planet Gravity             := Formula Planet Gas Gravity
Planet Temperature         := Formula Planet Gas Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Gas_Carbon_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Gas_Carbon_Colonized.bmp

Stellar Object Name        := Planet Gas Ringed 0001 Large
Physical Type              := Planet
XFile Class Name           := Planet Ringed 0001 Large
Maximum Model Size         := 20.01
Hex Size                   := 1
Picture Index              := 357
Portrait Filename          := planet_gas_ringed_0001_large.bmp
Large Portrait Filename    := planet_gas_ringed_0001_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Gas Giant
Planet Atmosphere          := Carbon Dioxide
Planet Gravity             := Formula Planet Gas Gravity
Planet Temperature         := Formula Planet Gas Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Gas_Carbon_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Gas_Carbon_Colonized.bmp

Stellar Object Name        := Planet Gas Ringed 0002 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ringed 0002 Huge
Maximum Model Size         := 24.0126
Hex Size                   := 1
Picture Index              := 358
Portrait Filename          := planet_gas_ringed_0002_huge.bmp
Large Portrait Filename    := planet_gas_ringed_0002_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Gas Giant
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gas Gravity
Planet Temperature         := Formula Planet Gas Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Gas_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Gas_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Gas Ringed 0002 Large
Physical Type              := Planet
XFile Class Name           := Planet Ringed 0002 Large
Maximum Model Size         := 20.01
Hex Size                   := 1
Picture Index              := 359
Portrait Filename          := planet_gas_ringed_0002_large.bmp
Large Portrait Filename    := planet_gas_ringed_0002_large_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Gas Giant
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gas Gravity
Planet Temperature         := Formula Planet Gas Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Gas_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Gas_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Gas Ringed 0003 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ringed 0003 Huge
Maximum Model Size         := 24.0126
Hex Size                   := 1
Picture Index              := 360
Portrait Filename          := planet_gas_ringed_0003_huge.bmp
Large Portrait Filename    := planet_gas_ringed_0003_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Gas Giant
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gas Gravity
Planet Temperature         := Formula Planet Gas Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Gas_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Gas_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Gas Ringed 0003 Large
Physical Type              := Planet
XFile Class Name           := Planet Ringed 0003 Large
Maximum Model Size         := 20.01
Hex Size                   := 1
Picture Index              := 361
Portrait Filename          := planet_gas_ringed_0003_large.bmp
